Player,TEAM,AGE,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,HEIGHT
Goga Bitadze,IND,21,250,None,Georgia,2019,1,18,37,5.1,3.2,0.7,0.0,10.0,16.1,17.7,54.7,8.4,83
Glenn Robinson III,SAC,27,222,Michigan,USA,2014,2,40,23,5.3,2.0,0.9,-17.3,2.8,9.4,13.5,55.4,7.5,78
Giannis Antetokounmpo,MIL,26,242,None,Greece,2013,1,15,51,28.5,11.4,6.0,10.5,5.0,26.8,32.2,63.2,28.5,83
Georges Niang,UTA,27,230,Iowa State,USA,2016,2,50,61,6.1,2.5,0.7,13.0,2.6,12.7,16.6,58.9,7.0,79
George Hill,PHI,34,188,Indiana-Purdue Indianapolis,USA,2008,1,26,19,10.1,2.0,2.7,-2.8,2.4,5.5,16.7,61.9,16.6,76
Gary Trent Jr.,TOR,22,209,Duke,USA,2018,2,37,55,15.2,2.5,1.4,-1.2,1.2,6.8,20.1,54.1,6.8,77
Gary Payton II,GSW,28,195,Oregon State,USA,Undrafted,Undrafted,Undrafted,9,2.3,0.9,0.0,0.0,8.0,17.6,19.7,82.3,0.0,75
Gary Harris,ORL,26,210,Michigan State,USA,2014,1,19,28,10.3,2.1,1.9,1.5,2.1,5.3,15.7,51.7,8.5,76
Gary Clark,DEN,26,225,Cincinnati,USA,Undrafted,Undrafted,Undrafted,37,3.2,3.1,0.8,-7.8,4.5,12.4,9.8,43.9,6.4,78
Garrison Mathews,WAS,24,215,Lipscomb,USA,Undrafted,Undrafted,Undrafted,55,5.7,1.5,0.5,-6.9,1.6,6.5,11.0,63.2,3.4,77
Garrett Temple,CHI,34,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,45,7.8,2.8,2.2,3.5,1.9,8.4,13.0,53.2,10.0,77
Gabe Vincent,MIA,24,200,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,43,4.9,1.1,1.3,-5.9,1.5,6.2,18.3,47.7,14.4,75
Furkan Korkmaz,PHI,23,202,None,Turkey,2016,1,26,48,9.5,2.0,1.4,4.6,1.2,9.0,19.5,55.4,10.0,79
Freddie Gillespie,TOR,23,245,Baylor,USA,Undrafted,Undrafted,Undrafted,9,5.7,3.4,0.6,-8.8,9.7,11.0,13.0,66.6,5.3,81
Fred VanVleet,TOR,27,197,Wichita State,USA,Undrafted,Undrafted,Undrafted,48,19.4,4.2,6.2,4.2,1.5,10.0,23.4,54.1,26.3,73
Frank Ntilikina,NYK,22,200,None,France,2017,1,8,24,3.1,1.0,0.6,-3.1,1.9,7.8,13.6,51.4,9.3,76
Frank Mason,ORL,27,190,Kansas,USA,2017,2,34,4,6.3,3.0,3.0,-11.1,3.3,10.3,17.0,46.2,21.8,71
Frank Kaminsky,PHX,28,240,Wisconsin,USA,2015,1,9,36,6.1,3.6,1.6,5.4,4.8,19.3,18.4,55.0,15.1,84
Frank Jackson,DET,22,205,Duke,USA,2017,2,31,33,8.7,2.0,0.7,0.3,2.2,9.4,20.2,60.9,6.7,75
Facundo Campazzo,DEN,30,195,None,Argentina,Undrafted,Undrafted,Undrafted,55,5.3,1.7,3.1,2.6,1.5,6.9,12.3,54.8,20.4,70
Evan Fournier,BOS,28,205,None,France,2012,1,20,32,17.5,2.7,3.4,-2.2,0.6,8.4,23.8,59.0,17.4,79
Ersan Ilyasova,UTA,33,235,None,Turkey,2005,2,36,11,4.1,1.7,0.2,1.1,4.0,15.3,18.5,60.3,3.1,81
Eric Paschall,GSW,24,255,Villanova,USA,2019,2,41,39,9.5,3.2,1.3,-7.3,3.8,13.8,23.4,55.5,12.9,78
Eric Gordon,HOU,32,215,Indiana,USA,2008,1,7,27,17.8,2.1,2.6,-3.3,0.9,6.2,24.6,57.7,14.7,75
Eric Bledsoe,NOP,31,214,Kentucky,USA,2010,1,18,60,11.9,3.4,3.7,-2.2,1.4,9.9,17.8,53.1,16.3,73
Enes Kanter,POR,28,250,None,Turkey,2011,1,3,60,11.9,11.4,1.3,2.9,14.5,27.7,16.8,64.3,7.1,82
Elijah Hughes,UTA,23,215,Syracuse,USA,2020,2,39,13,1.9,0.5,0.3,-34.3,0.0,12.5,26.5,52.6,17.4,77
Elfrid Payton,NYK,27,195,Louisana-Lafayette,USA,2014,1,10,53,11.2,3.6,3.4,-2.0,4.6,9.3,22.6,48.9,20.7,75
Edmond Sumner,IND,25,196,Xavier,USA,2017,2,52,47,7.3,1.8,0.9,0.2,2.2,8.5,17.5,62.7,7.5,76
Ed Davis,MIN,31,218,North Carolina,USA,2010,1,13,22,2.2,5.1,1.0,-7.1,12.9,23.4,7.9,48.7,10.2,81
E'Twaun Moore,PHX,32,191,Purdue,USA,2011,2,55,24,4.3,1.8,1.5,3.4,3.6,8.3,15.2,47.9,13.4,75
Dylan Windler,CLE,24,196,Belmont,USA,2019,1,26,31,5.2,3.5,1.1,-6.5,3.9,17.1,14.0,56.7,8.9,78
