#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
19,Sindarius Thornwell,NOP,14,5.2,0.5,1.5,0.333,0.2,0.6,0.333,0,0.1,0,0.3,0.2,0.1,0.3,0.4,0.3,0.4,0.1,1.2
20,Will Magnay,NOP,1,3.3,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1,Julius Randle,NYK,60,37.5,8.4,18.3,0.462,2.2,5.3,0.416,4.9,6.1,0.805,3.5,3.2,1.3,9.2,10.5,6,1,0.2,24
2,R.J. Barrett,NYK,61,34.4,6.5,14.6,0.447,1.5,3.9,0.388,3,4,0.744,2,2.6,1,4.7,5.7,3,0.7,0.3,17.6
3,Derrick Rose,NYK,25,25.8,5.4,11.6,0.46,0.9,2.5,0.365,1.9,2.3,0.842,1.3,1.2,0.3,2.2,2.5,4,1,0.5,13.6
4,Alec Burks,NYK,44,25.8,4.2,10.1,0.414,2,5,0.408,2.2,2.5,0.865,1,2.1,0.4,4.1,4.5,2.2,0.7,0.3,12.6
5,Immanuel Quickley,NYK,56,19.5,3.6,9.3,0.392,1.9,4.8,0.389,2.5,2.8,0.892,0.9,1.8,0.4,1.8,2.2,2.1,0.5,0.2,11.7
6,Elfrid Payton,NYK,52,25.3,4.8,10.8,0.44,0.5,1.8,0.283,1.3,1.9,0.69,1.8,1.8,1.2,2.4,3.6,3.4,0.8,0.2,11.3
7,Reggie Bullock,NYK,54,28.8,3.7,8.3,0.44,2.4,5.9,0.407,0.6,0.7,0.895,0.7,2.2,0.2,3.1,3.4,1.5,0.8,0.2,10.4
8,Mitchell Robinson,NYK,31,27.5,3.7,5.7,0.653,0,0,0,0.8,1.7,0.491,0.8,2.8,3.6,4.5,8.1,0.5,1.1,1.5,8.3
9,Austin Rivers,NYK,21,21.1,2.8,6.4,0.43,1.3,3.7,0.364,0.5,0.7,0.714,1,1.5,0.2,2,2.2,2,0.6,0,7.3
10,Taj Gibson,NYK,34,20.3,2.1,3.4,0.609,0.1,0.4,0.214,0.9,1.3,0.689,0.6,2.1,2.2,3.2,5.5,0.7,0.8,1,5.1
11,Nerlens Noel,NYK,54,23.8,2.2,3.5,0.616,0,0,0,0.8,1.1,0.695,1.1,2.7,2.3,4.2,6.5,0.7,1,2.2,5.1
12,Kevin Knox,NYK,38,11.9,1.4,3.6,0.399,0.9,2.3,0.391,0.4,0.5,0.778,0.4,1,0.3,1.3,1.6,0.5,0.3,0.2,4.2
13,Obi Toppin,NYK,51,11.1,1.6,3.4,0.485,0.4,1.4,0.296,0.3,0.4,0.727,0.4,0.9,0.4,1.8,2.3,0.5,0.2,0.2,4
14,Frank Ntilikina,NYK,24,10.9,1,2.7,0.369,0.8,1.6,0.474,0.3,0.7,0.5,0.4,1.6,0.2,0.8,1,0.6,0.6,0.1,3.1
15,Dennis Smith,NYK,3,9.2,0.7,3.3,0.2,0,1.3,0,1.7,2,0.833,0.3,1.3,0,0.7,0.7,1,1,0,3
16,Norvel Pelle,NYK,4,6.4,0.8,1,0.75,0,0,0,0.2,0.5,0.5,0,0,0.2,1.5,1.8,0,0.2,0.8,1.8
17,Ignas Brazdeikis,NYK,4,1.8,0,0.2,0,0,0,0,0.5,0.5,1,0.2,0,0.2,0.2,0.5,0.2,0,0,0.5
18,Jared Harper,NYK,4,2.3,0,0.5,0,0,0,0,0.5,0.5,1,0.5,0,0,0,0,0,0,0,0.5
19,Theo Pinson,NYK,14,2.2,0.1,0.6,0.111,0,0.6,0,0,0,0,0.1,0.3,0,0.1,0.1,0.1,0,0,0.1
1,Shai Gilgeous-Alexander,OKC,35,33.7,8.2,16.1,0.508,2,4.9,0.418,5.3,6.5,0.808,3,2,0.5,4.2,4.7,5.9,0.8,0.7,23.7
2,Al Horford,OKC,28,27.9,5.8,12.9,0.45,2,5.4,0.368,0.6,0.8,0.818,1,1.7,1,5.7,6.7,3.4,0.9,0.9,14.2
3,Luguentz Dort,OKC,46,29.7,4.8,12,0.402,2.1,6.2,0.346,2.2,3,0.741,1.5,2.5,0.7,3,3.7,1.6,1,0.4,14
4,Darius Bazley,OKC,44,31.2,4.8,12.1,0.401,1.5,5.3,0.289,2,2.8,0.719,2,1,0.8,6.6,7.4,1.5,0.6,0.5,13.2
5,Hamidou Diallo,OKC,32,23.8,4.5,9.3,0.481,0.4,1.3,0.293,2.6,4.1,0.629,1.5,2.6,1.2,4,5.2,2.4,1,0.4,11.9
6,George Hill,OKC,14,26.3,4.4,8.6,0.508,1.6,4.1,0.386,1.5,1.8,0.84,0.9,0.9,0.6,1.5,2.1,3.1,0.9,0.1,11.8
7,Svi Mykhailiuk,OKC,20,23.9,4,8.8,0.457,1.4,4.3,0.337,0.5,0.8,0.667,1.7,0.9,0.6,2.8,3.4,1.8,0.7,0.2,9.9
8,Theo Maledon,OKC,54,27.7,3.4,9.2,0.371,1.6,4.7,0.35,1.4,1.9,0.738,2.1,2.1,0.4,3.1,3.5,3.5,0.9,0.1,9.9
9,Ty Jerome,OKC,27,24.1,3.6,8.5,0.419,2,5.1,0.396,0.7,0.9,0.72,1.4,1.7,0.4,2.4,2.8,3.7,0.6,0.1,9.8
10,Mike Muscala,OKC,35,18.4,3.4,7.6,0.446,1.9,5.3,0.37,0.9,1,0.917,0.6,1.5,0.5,3.2,3.8,0.8,0.2,0.3,9.7
11,Tony Bradley,OKC,15,18.8,3.9,6,0.644,0,0.1,0,1.5,2,0.733,1.4,1.7,2.3,4.1,6.4,0.8,0.5,0.7,9.2
12,Isaiah Roby,OKC,49,23.7,3.5,7,0.5,0.6,1.7,0.341,1.4,2,0.719,1.9,2.7,1.6,4.1,5.7,1.9,0.8,0.7,9
