#,Player,Team,GP_x,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,TEAM,AGE,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP_y,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,HEIGHT,Position,SALARY
2,Kyrie Irving,BRK,45,35.2,10.3,20.4,0.507,2.7,6.9,0.39,4.0,4.3,0.923,2.5,2.6,1.0,3.9,5.0,6.5,1.3,0.6,27.3,BKN,29,195,Duke,Australia,2011,1,1,45,27.3,5.0,6.5,6.1,3.1,10.5,29.9,61.3,28.6,74,PG,31742000
3,James Harden,BRK,34,37.3,8.1,17.3,0.467,2.7,7.5,0.361,6.5,7.5,0.867,4.1,2.4,0.9,7.8,8.7,11.0,1.3,0.7,25.4,BKN,31,220,Arizona State,USA,2009,1,3,42,25.2,8.0,10.9,2.7,2.4,19.1,28.6,61.6,43.9,77,SG,41254920
1,James Harden,HOU,8,36.3,7.5,16.9,0.444,3.1,9.0,0.347,6.6,7.5,0.883,4.2,1.8,0.6,4.5,5.1,10.4,0.9,0.8,24.8,BKN,31,220,Arizona State,USA,2009,1,3,42,25.2,8.0,10.9,2.7,2.4,19.1,28.6,61.6,43.9,77,SG,41254920
4,Caris LeVert,BRK,12,27.8,7.2,16.7,0.435,1.8,5.2,0.349,2.2,2.8,0.765,2.2,1.7,0.8,3.5,4.3,6.0,1.1,0.5,18.5,IND,26,205,Michigan,USA,2016,1,20,36,18.7,4.5,4.8,-1.1,2.5,11.0,26.9,51.7,24.3,78,SG,16203704
4,Caris LeVert,IND,24,32.4,7.1,16.5,0.433,1.5,5.6,0.276,3.0,3.8,0.783,1.8,2.3,0.8,3.8,4.6,4.1,1.7,0.5,18.8,IND,26,205,Michigan,USA,2016,1,20,36,18.7,4.5,4.8,-1.1,2.5,11.0,26.9,51.7,24.3,78,SG,16203704
5,Joe Harris,BRK,61,30.9,5.3,10.3,0.513,3.1,6.5,0.482,0.8,1.0,0.78,0.8,2.0,0.6,2.9,3.6,1.9,0.7,0.2,14.4,BKN,29,220,Virginia,USA,2014,2,33,61,14.4,3.6,1.9,7.2,2.2,9.0,15.8,67.4,8.0,78,SF,16071429
7,Jarrett Allen,BRK,12,26.6,3.7,5.4,0.677,0.0,0.0,0.0,3.8,5.1,0.754,1.8,1.8,3.2,7.2,10.4,1.7,0.6,1.6,11.2,CLE,23,243,Texas-Austin,USA,2017,1,22,52,13.2,9.8,1.6,-4.3,10.5,23.0,16.5,68.5,8.4,83,C,3909902
4,Jarrett Allen,CLE,39,29.8,5.2,8.2,0.635,0.1,0.3,0.385,3.3,4.7,0.705,1.4,1.6,3.0,6.7,9.7,1.6,0.5,1.6,13.8,CLE,23,243,Texas-Austin,USA,2017,1,22,52,13.2,9.8,1.6,-4.3,10.5,23.0,16.5,68.5,8.4,83,C,3909902
8,Jeff Green,BRK,57,27.0,3.6,7.7,0.475,1.4,3.5,0.386,1.7,2.2,0.78,0.8,1.8,0.5,3.3,3.7,1.6,0.6,0.4,10.4,BKN,34,235,Georgetown,USA,2007,1,5,57,10.4,3.7,1.6,3.6,1.8,11.4,15.0,60.0,8.1,80,PF,1620564
9,Blake Griffin,BRK,15,21.0,3.2,6.5,0.49,1.0,2.7,0.366,1.9,2.5,0.763,1.3,2.6,0.9,3.7,4.6,2.5,0.8,0.5,9.3,BKN,32,250,Oklahoma,USA,2009,1,1,35,11.0,4.9,3.3,0.2,2.0,16.7,18.9,52.9,18.2,81,PF,776983
4,Blake Griffin,DET,20,31.3,4.0,11.1,0.365,1.9,6.2,0.315,2.2,3.1,0.71,1.6,2.1,0.3,4.8,5.2,3.9,0.7,0.1,12.2,BKN,32,250,Oklahoma,USA,2009,1,1,35,11.0,4.9,3.3,0.2,2.0,16.7,18.9,52.9,18.2,81,PF,776983
10,Landry Shamet,BRK,50,22.0,3.1,7.4,0.411,2.1,5.4,0.391,1.1,1.3,0.857,0.8,1.5,0.2,1.6,1.8,1.5,0.5,0.1,9.3,BKN,24,190,Wichita State,USA,2018,1,26,50,9.3,1.8,1.5,-0.1,0.9,7.0,17.0,58.3,9.5,76,SG,2090040
12,Taurean Prince,BRK,12,18.1,2.5,6.2,0.405,1.1,3.1,0.351,2.0,2.2,0.889,0.9,1.8,0.2,2.7,2.8,0.6,0.7,0.7,8.1,CLE,27,218,Baylor,USA,2016,1,12,41,9.5,3.5,1.9,-6.1,2.1,13.2,18.9,54.0,12.1,79,PF,12250000
6,Taurean Prince,CLE,29,23.7,3.5,8.7,0.399,1.7,4.1,0.415,1.4,1.7,0.837,1.2,1.9,0.6,3.1,3.7,2.4,0.7,0.5,10.1,CLE,27,218,Baylor,USA,2016,1,12,41,9.5,3.5,1.9,-6.1,2.1,13.2,18.9,54.0,12.1,79,PF,12250000
13,DeAndre Jordan,BRK,53,22.3,3.5,4.4,0.779,0.0,0.0,0.0,0.8,1.5,0.506,1.5,2.1,2.0,5.5,7.5,1.7,0.3,1.2,7.7,BKN,32,265,Texas A&M,USA,2008,2,35,53,7.7,7.5,1.7,-0.7,9.4,22.9,12.6,75.3,10.0,83,C,10375678
14,Spencer Dinwiddie,BRK,3,21.4,2.0,5.3,0.375,0.7,2.3,0.286,2.0,2.0,1.0,1.7,1.3,0.0,4.3,4.3,3.0,0.7,0.3,6.7,BKN,28,215,Colorado,USA,2014,2,38,3,6.7,4.3,3.0,29.8,0.0,15.1,15.4,53.6,17.3,77,PG,11454048
15,Timothe Luwawu-Cabarrot,BRK,53,19.0,2.3,6.4,0.361,1.4,4.3,0.314,0.6,0.8,0.8,0.8,1.8,0.5,1.9,2.4,1.2,0.6,0.1,6.6,BKN,25,220,None,France,2016,1,24,53,6.6,2.4,1.2,0.3,2.5,9.5,16.4,48.8,8.3,79,SG,654469
16,Nicolas Claxton,BRK,25,18.5,2.8,4.8,0.583,0.0,0.2,0.2,0.9,1.8,0.5,0.6,2.1,1.4,3.6,5.0,1.1,0.8,1.2,6.6,BKN,22,215,Georgia,USA,2019,2,31,25,6.6,5.0,1.1,13.3,7.8,18.1,14.1,58.5,8.3,83,PF,1517981
