#,Player,Team,GP_x,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,TEAM,AGE,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP_y,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,HEIGHT,Position,SALARY
8,Justin Holiday,IND,60,30.8,3.6,8.9,0.404,2.4,6.5,0.375,0.9,1.1,0.783,0.8,1.9,0.5,3.2,3.7,1.6,1.2,0.5,10.5,IND,32,180,Washington,USA,Undrafted,Undrafted,Undrafted,60,10.5,3.7,1.6,-0.8,1.5,10.0,13.9,55.9,7.0,78,SF,5720000
9,Jeremy Lamb,IND,36,21.3,3.3,7.7,0.435,1.4,3.6,0.406,2.0,2.1,0.947,0.6,2.0,0.7,2.9,3.6,1.5,0.9,0.6,10.1,IND,28,180,Connecticut,USA,2012,1,12,36,10.1,3.6,1.5,-0.3,3.2,13.7,18.0,58.7,9.4,77,SG,10500000
11,T.J. McConnell,IND,57,25.7,3.7,6.7,0.561,0.2,0.6,0.333,0.4,0.7,0.658,1.9,1.6,0.7,2.9,3.6,6.6,1.8,0.4,8.1,IND,29,190,Arizona,USA,2015,0,,57,8.1,3.6,6.6,2.0,2.8,10.8,14.3,58.4,34.6,73,PG,3500000
12,Edmond Sumner,IND,47,15.9,2.7,5.2,0.527,0.7,1.7,0.388,1.2,1.5,0.803,0.9,1.6,0.4,1.4,1.8,0.9,0.6,0.2,7.3,IND,25,196,Xavier,USA,2017,2,52,47,7.3,1.8,0.9,0.2,2.2,8.5,17.5,62.7,7.5,76,PG,2160000
13,Aaron Holiday,IND,58,16.9,2.5,6.5,0.387,1.0,2.8,0.373,0.9,1.1,0.803,0.9,1.5,0.2,1.0,1.2,1.6,0.6,0.2,7.0,IND,24,185,UCLA,USA,2018,1,23,58,7.0,1.2,1.6,-0.8,1.0,5.9,19.2,49.9,12.5,72,PG,2345640
14,Goga Bitadze,IND,37,11.3,1.9,4.1,0.458,0.4,1.5,0.268,0.9,1.2,0.756,0.4,1.9,1.3,1.9,3.2,0.7,0.2,1.2,5.1,IND,21,250,None,Georgia,2019,1,18,37,5.1,3.2,0.7,0.0,10.0,16.1,17.7,54.7,8.4,83,C,2957520
15,JaKarr Sampson,IND,23,9.5,1.4,3.2,0.446,0.1,0.5,0.25,0.7,1.1,0.6,0.4,1.7,0.8,1.7,2.4,0.1,0.1,0.4,3.7,IND,28,214,St. John's,USA,Undrafted,Undrafted,Undrafted,23,3.7,2.4,0.1,10.5,7.8,15.9,17.2,49.4,1.2,79,SF,1620564
16,Kelan Martin,IND,23,5.5,0.8,2.1,0.388,0.3,0.9,0.286,0.2,0.2,1.0,0.3,0.5,0.4,0.9,1.3,0.3,0.2,0.1,2.1,IND,25,230,Butler,USA,Undrafted,Undrafted,Undrafted,23,2.1,1.3,0.3,20.8,6.4,14.8,18.0,47.9,8.2,77,SG,1445697
18,Cassius Stanley,IND,17,2.7,0.4,1.4,0.304,0.1,0.4,0.167,0.2,0.3,0.8,0.1,0.5,0.3,0.4,0.6,0.0,0.0,0.1,1.1,IND,21,190,Duke,USA,2020,2,54,17,1.1,0.6,0.0,-1.0,7.6,12.8,20.6,37.7,0.0,77,SG,0
20,Amida Brimah,IND,1,5.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,IND,27,230,Connecticut,USA,Undrafted,Undrafted,Undrafted,1,0.0,0.0,0.0,-10.3,0.0,0.0,6.7,0.0,0.0,82,C,0
1,Kawhi Leonard,LAC,46,34.4,9.4,18.2,0.516,2.0,5.0,0.393,5.0,5.7,0.878,2.0,1.7,1.1,5.5,6.7,5.1,1.7,0.4,25.7,LAC,29,225,San Diego State,USA,2011,1,15,46,25.7,6.7,5.1,11.8,3.5,16.5,28.6,62.2,23.3,79,SF,34379100
2,Paul George,LAC,46,33.6,8.5,17.8,0.479,3.3,7.6,0.429,3.7,4.2,0.891,3.3,2.4,0.9,5.6,6.5,5.4,1.2,0.5,24.0,LAC,30,220,Fresno State,USA,2010,1,10,47,23.7,6.5,5.3,11.2,2.8,16.7,29.6,60.9,24.7,80,SG,35450412
5,Serge Ibaka,LAC,39,23.6,4.5,8.9,0.507,1.0,2.8,0.352,0.9,1.2,0.822,1.1,1.9,1.7,4.9,6.7,1.7,0.2,1.2,10.9,LAC,31,235,None,Republic of t...,2008,1,24,39,10.9,6.7,1.7,8.2,7.9,21.4,19.7,58.2,10.5,82,C,9258000
6,Reggie Jackson,LAC,58,22.8,3.9,8.6,0.452,1.7,3.9,0.441,1.1,1.3,0.805,1.1,2.0,0.4,2.5,2.9,3.2,0.6,0.1,10.5,LAC,31,208,Boston College,USA,2011,1,24,59,10.5,2.9,3.2,7.6,1.8,10.9,19.3,57.4,19.1,74,PG,1620564
7,Ivica Zubac,LAC,62,22.4,3.6,5.6,0.644,0.0,0.0,0.0,2.0,2.5,0.786,1.1,2.6,2.7,4.6,7.3,1.2,0.4,0.9,9.2,LAC,24,240,None,Croatia,2016,2,32,63,9.1,7.3,1.2,3.2,12.3,20.0,14.8,68.4,7.6,84,C,7000000
8,Luke Kennard,LAC,56,19.9,3.2,6.6,0.477,1.6,3.6,0.46,0.4,0.5,0.828,0.8,1.5,0.2,2.5,2.7,1.7,0.4,0.2,8.4,LAC,24,206,Duke,USA,2017,1,12,56,8.4,2.7,1.7,0.1,1.3,12.4,16.6,61.2,12.1,77,SG,5273826
9,Nicolas Batum,LAC,58,28.4,2.9,6.4,0.458,1.7,4.2,0.406,0.8,0.9,0.846,0.9,1.6,0.8,4.1,4.9,2.4,1.1,0.6,8.3,LAC,32,230,None,France,2008,1,25,59,8.2,4.9,2.3,9.6,3.0,14.4,11.6,61.2,10.6,80,PF,1620564
10,Patrick Beverley,LAC,31,23.4,2.6,6.1,0.432,1.7,4.0,0.416,1.1,1.3,0.805,0.9,3.1,0.9,2.7,3.6,2.1,0.8,0.8,8.0,LAC,32,180,Arkansas,USA,2009,2,42,31,8.0,3.6,2.1,10.7,4.0,11.5,14.4,59.8,11.9,73,PG,13333333
13,Terance Mann,LAC,59,19.1,2.5,5.2,0.481,0.6,1.4,0.412,1.0,1.3,0.803,0.6,2.0,0.9,2.8,3.7,1.7,0.4,0.2,6.6,LAC,24,215,Florida State,USA,2019,2,48,60,6.8,3.7,1.7,3.1,4.4,14.1,14.2,58.1,11.9,77,SG,1517981
15,Patrick Patterson,LAC,33,14.3,1.8,4.0,0.451,1.1,2.8,0.385,0.4,0.5,0.75,0.3,1.3,0.5,1.5,1.9,0.7,0.4,0.2,5.1,LAC,32,235,Kentucky,USA,2010,1,14,34,5.1,1.9,0.6,5.3,3.0,9.6,13.8,58.5,6.4,80,PF,3077704
16,Amir Coffey,LAC,42,8.8,1.0,2.2,0.436,0.5,1.2,0.412,0.6,0.9,0.694,0.3,0.6,0.2,0.8,1.0,0.5,0.2,0.0,3.0,LAC,23,210,Minnesota,USA,Undrafted,Undrafted,Undrafted,43,3.3,1.0,0.5,-1.6,2.3,8.1,14.6,58.5,9.0,79,SG,0
17,Daniel Oturu,LAC,23,4.1,0.6,1.1,0.538,0.0,0.0,0.0,0.2,0.3,0.625,0.2,0.6,0.4,0.7,1.0,0.3,0.0,0.1,1.4,LAC,21,240,Minnesota,USA,2020,2,33,24,1.5,1.2,0.3,-1.9,10.4,17.0,15.8,55.5,11.5,80,C,898310
1,LeBron James,LAL,41,33.9,9.5,18.4,0.513,2.4,6.5,0.368,4.1,5.8,0.703,3.7,1.6,0.6,7.3,7.9,7.9,1.0,0.6,25.4,LAL,36,250,None,USA,2003,1,1,41,25.4,7.9,7.9,9.8,1.8,20.6,31.0,60.5,39.2,81,SF,39219565
2,Anthony Davis,LAL,25,32.0,8.4,16.5,0.512,0.7,2.6,0.262,4.0,5.6,0.714,1.9,1.7,2.0,6.0,8.0,3.0,1.3,1.7,21.6,LAL,28,253,Kentucky,USA,2012,1,1,26,21.4,8.0,3.0,6.9,6.2,19.2,27.9,56.9,14.6,82,PF,32742000
3,Dennis Schroder,LAL,56,32.0,5.4,12.4,0.438,1.2,3.4,0.344,3.5,4.2,0.843,2.7,2.6,0.5,3.0,3.5,5.7,1.2,0.2,15.6,LAL,27,172,None,Germany,2013,1,17,57,15.7,3.5,5.8,3.1,1.5,9.3,23.0,54.6,26.3,75,PG,16000000
4,Montrezl Harrell,LAL,59,24.0,5.7,9.1,0.62,0.0,0.2,0.0,2.6,3.7,0.713,1.1,1.9,2.4,4.2,6.6,1.1,0.7,0.7,13.9,LAL,27,240,Louisville,USA,2015,2,32,60,14.0,6.6,1.1,3.1,10.1,16.8,20.9,65.0,7.6,79,C,9258000
5,Kyle Kuzma,LAL,57,28.5,4.9,11.4,0.436,2.0,5.7,0.351,0.9,1.4,0.675,1.8,1.8,1.7,4.6,6.4,1.7,0.5,0.6,12.8,LAL,25,221,Utah,USA,2017,1,27,58,12.9,6.4,1.7,0.1,5.9,16.2,20.3,54.0,9.2,82,SF,3562178
7,Kentavious Caldwell-Pope,LAL,55,27.4,3.3,7.6,0.433,1.8,4.3,0.424,1.3,1.5,0.857,1.0,1.6,0.4,2.2,2.7,1.6,0.8,0.3,9.7,LAL,28,204,Georgia,USA,2013,1,8,56,9.7,2.7,1.6,3.5,1.6,8.4,14.3,58.7,8.0,77,SG,12073020
9,Talen Horton-Tucker,LAL,55,19.7,3.4,7.6,0.446,0.6,2.1,0.267,1.5,1.8,0.812,1.5,2.0,0.4,2.3,2.7,2.5,0.9,0.4,8.8,LAL,20,234,Iowa State,USA,2019,2,46,56,8.7,2.7,2.5,0.6,1.9,10.9,21.0,52.4,19.3,76,SG,1517981
10,Markieff Morris,LAL,52,20.6,2.7,6.4,0.425,1.2,3.7,0.325,0.6,0.8,0.744,0.9,1.8,0.8,3.8,4.6,1.2,0.3,0.3,7.3,LAL,31,245,Kansas,USA,2011,1,13,53,7.2,4.5,1.2,0.5,3.9,17.7,15.9,52.9,8.3,81,PF,1620564
11,Alex Caruso,LAL,50,20.5,2.1,4.8,0.429,0.9,2.3,0.404,0.8,1.2,0.672,1.2,1.8,0.5,2.4,2.9,2.5,1.2,0.3,5.9,LAL,27,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,51,5.9,2.9,2.5,6.6,2.4,11.4,13.5,55.4,17.4,76,SG,2750000
12,Damian Jones,LAL,8,14.0,2.0,2.1,0.941,0.0,0.0,0.0,1.4,1.5,0.917,0.6,2.8,1.0,2.2,3.2,0.1,0.1,0.9,5.4,SAC,25,245,Vanderbilt,USA,2016,1,30,28,3.1,2.4,0.3,-4.9,7.8,14.4,11.1,72.7,4.3,83,C,1737145
15,Damian Jones,PHX,14,6.7,0.6,1.1,0.5,0.0,0.1,0.0,0.4,0.8,0.545,0.4,1.4,0.5,0.8,1.3,0.3,0.1,0.4,1.6,SAC,25,245,Vanderbilt,USA,2016,1,30,28,3.1,2.4,0.3,-4.9,7.8,14.4,11.1,72.7,4.3,83,C,1737145
16,Damian Jones,SAC,5,14.0,1.0,1.6,0.625,0.0,0.0,0.0,1.0,1.4,0.714,0.8,1.4,0.8,2.2,3.0,0.6,0.6,0.6,3.0,SAC,25,245,Vanderbilt,USA,2016,1,30,28,3.1,2.4,0.3,-4.9,7.8,14.4,11.1,72.7,4.3,83,C,1737145
13,Marc Gasol,LAL,45,19.5,1.8,4.0,0.444,1.0,2.5,0.387,0.8,1.0,0.739,1.2,2.2,0.8,3.3,4.1,2.1,0.5,1.2,5.3,LAL,36,255,None,Spain,2007,2,48,45,5.3,4.1,2.1,3.5,4.1,16.4,12.4,59.2,14.1,83,C,2564753
14,Wesley Matthews,LAL,50,19.3,1.4,4.2,0.335,1.1,3.4,0.321,0.6,0.7,0.857,0.4,1.4,0.3,1.3,1.5,0.9,0.6,0.3,4.5,LAL,34,220,Marquette,USA,Undrafted,Undrafted,Undrafted,50,4.5,1.5,0.9,1.9,1.5,6.3,10.9,49.7,6.4,76,SG,3623000
15,Alfonzo McKinnie,LAL,34,6.5,1.1,2.2,0.52,0.4,0.9,0.438,0.3,0.5,0.529,0.1,0.6,0.5,0.9,1.4,0.2,0.1,0.0,3.0,LAL,28,215,Wisconsin-Green Bay,USA,Undrafted,Undrafted,Undrafted,34,3.0,1.4,0.2,0.4,6.9,11.8,15.8,61.2,4.4,79,SF,1762796
16,Devontae Cacok,LAL,17,5.2,1.0,1.6,0.63,0.0,0.0,0.0,0.2,0.5,0.444,0.3,0.5,0.6,1.2,1.8,0.1,0.3,0.2,2.2,LAL,24,240,North Carolina-Wilmington,USA,Undrafted,Undrafted,Undrafted,17,2.2,1.8,0.1,19.0,11.2,20.6,15.9,61.4,1.6,79,PF,0
18,Kostas Antetokounmpo,LAL,14,3.8,0.2,0.7,0.3,0.0,0.0,0.0,0.4,0.9,0.462,0.7,0.5,0.3,1.1,1.4,0.1,0.1,0.3,0.9,LAL,23,200,Dayton,Greece,2018,2,60,14,0.9,1.4,0.1,27.0,6.5,22.7,17.6,38.2,2.3,82,PF,0
19,Jared Dudley,LAL,11,6.9,0.2,0.6,0.286,0.2,0.5,0.4,0.0,0.0,0.0,0.2,0.6,0.4,1.4,1.7,0.5,0.1,0.1,0.5,LAL,35,237,Boston College,USA,2007,1,22,11,0.5,1.7,0.5,-0.7,4.9,20.0,4.8,42.9,8.3,78,SF,1620564
1,Ja Morant,MEM,51,32.2,7.0,15.3,0.456,1.1,3.6,0.301,4.5,6.1,0.733,3.1,1.4,0.9,2.9,3.8,7.3,0.9,0.2,19.5,MEM,21,174,Murray State,USA,2019,1,2,52,19.7,3.9,7.3,2.2,2.7,9.0,27.3,54.7,32.3,75,PG,9166800
3,Jonas Valanciunas,MEM,51,28.1,7.1,12.2,0.579,0.4,1.0,0.365,2.5,3.3,0.774,1.6,2.8,4.1,8.4,12.5,1.8,0.5,0.7,17.1,MEM,28,265,None,Lithuania,2011,1,5,52,17.0,12.3,1.8,3.8,13.5,28.9,22.3,62.4,9.7,83,C,15000000
4,Dillon Brooks,MEM,55,29.5,6.3,15.2,0.417,1.9,5.5,0.347,2.2,2.7,0.836,1.8,3.5,0.8,2.2,3.0,2.3,1.2,0.4,16.8,MEM,25,225,Oregon,Canada,2017,2,45,56,16.7,3.0,2.3,4.6,2.7,7.1,25.4,51.4,11.2,79,SF,11400000
5,Kyle Anderson,MEM,57,27.4,4.5,9.6,0.464,1.3,3.8,0.349,2.0,2.6,0.782,1.2,1.8,0.8,5.2,6.0,3.6,1.2,0.8,12.3,MEM,27,230,UCLA,USA,2014,1,30,58,12.2,6.0,3.5,0.6,2.9,18.2,18.1,57.1,17.8,81,SF,9505100
6,Grayson Allen,MEM,46,25.6,3.6,8.6,0.423,2.3,5.7,0.398,1.6,1.9,0.862,1.0,1.5,0.4,2.9,3.3,2.2,1.0,0.2,11.2,MEM,25,198,Duke,USA,2018,1,21,47,11.1,3.3,2.1,0.4,1.4,10.6,16.6,59.2,11.3,76,SG,2545320
7,Brandon Clarke,MEM,49,25.1,4.6,8.8,0.521,0.4,1.3,0.297,1.3,1.9,0.674,0.6,1.5,1.5,4.0,5.4,1.7,1.0,0.8,10.8,MEM,24,215,Gonzaga,Canada,2019,1,21,50,10.7,5.4,1.7,1.1,5.5,15.7,16.8,55.9,9.7,80,PF,2602920
8,De'Anthony Melton,MEM,39,20.4,3.8,8.0,0.473,1.9,4.2,0.457,0.8,1.1,0.78,1.2,1.7,0.7,2.5,3.2,2.7,1.3,0.5,10.3,MEM,22,200,Southern California,USA,2018,2,46,40,10.1,3.2,2.7,9.3,3.0,11.8,19.5,59.5,17.9,74,SG,9571712
9,Desmond Bane,MEM,55,22.1,3.4,7.2,0.475,1.7,3.8,0.459,0.6,0.8,0.833,0.9,1.9,0.4,2.7,3.0,1.7,0.6,0.2,9.2,MEM,22,215,TCU,USA,2020,1,30,56,9.1,3.0,1.7,1.5,1.7,11.6,15.4,60.8,10.5,77,SG,1936440
10,Gorgui Dieng,MEM,22,16.9,2.5,4.9,0.519,1.0,2.2,0.479,1.7,2.0,0.884,1.0,1.7,1.3,3.2,4.5,1.3,0.8,0.6,7.9,SAS,31,252,Louisville,Senegal,2013,1,21,29,6.7,3.9,1.1,-4.3,6.9,18.6,16.2,67.1,11.6,82,C,17287640
14,Gorgui Dieng,SAS,6,8.5,0.7,1.7,0.4,0.2,0.8,0.2,0.8,1.2,0.714,0.3,1.3,0.3,1.7,2.0,0.7,0.3,0.2,2.3,SAS,31,252,Louisville,Senegal,2013,1,21,29,6.7,3.9,1.1,-4.3,6.9,18.6,16.2,67.1,11.6,82,C,17287640
11,Tyus Jones,MEM,57,18.7,2.8,6.4,0.437,0.7,2.2,0.315,0.6,0.6,0.917,0.7,0.5,0.4,1.8,2.1,4.0,1.0,0.1,6.9,MEM,24,196,Duke,USA,2015,1,24,58,6.8,2.1,3.9,-2.8,1.7,9.2,16.7,51.3,30.4,72,PG,8817143
13,Justise Winslow,MEM,20,20.1,3.0,8.5,0.347,0.3,2.1,0.14,0.5,0.9,0.556,1.6,1.9,0.7,3.6,4.3,1.8,0.8,0.4,6.7,MEM,25,222,Duke,USA,2015,1,10,21,6.7,4.3,1.9,-4.8,3.1,17.6,21.1,37.9,13.1,78,PF,13000000
14,John Konchar,MEM,34,13.7,1.4,3.0,0.456,0.4,1.2,0.366,0.6,0.7,0.833,0.5,1.0,0.7,2.1,2.8,1.1,0.9,0.2,3.8,MEM,25,210,Indiana-Purdue Fort Wayne,USA,Undrafted,Undrafted,Undrafted,35,3.7,2.8,1.1,-0.4,4.9,15.7,11.8,56.7,10.4,77,SG,2100000
15,Killian Tillie,MEM,13,9.0,0.9,3.0,0.308,0.5,1.8,0.25,0.3,0.4,0.8,0.1,1.2,0.5,0.8,1.3,0.3,0.4,0.5,2.6,MEM,23,220,Gonzaga,France,Undrafted,Undrafted,Undrafted,14,2.6,1.2,0.3,0.0,4.5,8.1,15.3,40.7,4.8,81,C,0
16,Sean McDermott,MEM,17,9.2,0.8,1.9,0.394,0.3,1.3,0.227,0.5,0.5,1.0,0.2,0.5,0.4,0.8,1.1,0.2,0.1,0.2,2.3,MEM,24,195,Butler,USA,Undrafted,Undrafted,Undrafted,17,2.3,1.1,0.2,-17.8,3.1,8.8,10.2,53.4,4.3,78,SG,0
17,Tim Frazier,MEM,3,10.8,0.7,2.7,0.25,0.0,0.7,0.0,0.0,0.0,0.0,1.0,1.3,0.0,1.3,1.3,2.3,0.3,0.0,1.3,MEM,30,170,Penn State,USA,Undrafted,Undrafted,Undrafted,3,1.3,1.3,2.3,12.1,0.0,11.1,13.6,25.0,30.4,72,G,1620564
18,Jontay Porter,MEM,7,3.1,0.4,1.1,0.375,0.3,0.9,0.333,0.0,0.0,0.0,0.7,0.9,0.3,1.0,1.3,0.1,0.3,0.0,1.1,MEM,21,240,Missouri,USA,Undrafted,Undrafted,Undrafted,8,1.4,1.1,0.1,-10.5,5.7,25.0,22.7,53.3,10.0,83,PF,1900000
1,Jimmy Butler,MIA,44,33.9,7.0,14.2,0.493,0.4,2.0,0.218,6.8,7.9,0.857,2.2,1.5,1.8,5.2,7.0,7.3,2.1,0.4,21.3,MIA,31,230,Marquette,USA,2011,1,30,45,21.5,7.0,7.3,3.9,5.5,15.3,26.1,60.1,36.1,79,SF,34379100
2,Bam Adebayo,MIA,54,33.5,7.2,12.7,0.566,0.0,0.1,0.25,4.6,5.7,0.803,2.7,2.2,2.3,6.9,9.1,5.3,1.1,1.1,19.1,MIA,23,255,Kentucky,USA,2017,1,14,55,19.1,9.1,5.3,0.5,7.1,20.3,23.8,62.6,26.7,81,C,5115492
3,Tyler Herro,MIA,48,30.7,5.6,13.1,0.427,1.9,5.5,0.344,1.9,2.3,0.809,1.9,1.3,0.5,4.4,4.9,3.4,0.7,0.4,14.9,MIA,21,195,Kentucky,USA,2019,1,13,48,14.9,4.9,3.4,-5.0,1.5,13.8,22.4,52.9,18.2,77,PG,2582160
4,Kendrick Nunn,MIA,47,29.0,5.4,11.5,0.468,2.2,5.7,0.383,1.0,1.1,0.923,1.4,1.9,0.4,2.9,3.2,2.8,1.0,0.3,14.0,MIA,25,190,Oakland,USA,Undrafted,Undrafted,Undrafted,47,14.0,3.2,2.8,-0.4,1.3,9.8,20.6,58.3,15.0,74,SG,1663861
5,Duncan Robinson,MIA,61,32.1,4.4,10.1,0.44,3.5,8.6,0.405,0.8,1.0,0.836,1.2,2.5,0.1,3.5,3.6,1.8,0.6,0.2,13.2,MIA,27,215,Michigan,USA,Undrafted,Undrafted,Undrafted,62,13.0,3.5,1.8,2.3,0.3,10.9,16.0,62.3,8.2,79,SG,1663861
6,Goran Dragic,MIA,40,26.3,4.6,10.6,0.435,1.6,4.7,0.355,2.1,2.5,0.814,2.5,2.2,0.5,3.0,3.5,4.4,0.7,0.2,13.0,MIA,34,190,None,Slovenia,2008,2,45,41,12.9,3.5,4.4,0.6,1.8,11.3,23.4,54.9,27.5,75,PG,18000000
10,Trevor Ariza,MIA,20,27.0,2.9,7.2,0.393,1.5,4.2,0.357,1.1,1.4,0.75,0.6,1.6,0.8,3.8,4.5,1.8,0.7,0.6,8.2,MIA,35,215,UCLA,USA,2004,2,43,21,8.7,4.6,1.8,3.0,2.9,14.7,14.5,53.1,8.9,80,SF,12800000
11,Dewayne Dedmon,MIA,6,13.3,2.7,4.0,0.667,0.0,0.5,0.0,1.5,1.7,0.9,0.8,1.3,2.2,3.3,5.5,0.3,0.8,0.7,6.8,MIA,31,245,Southern California,USA,Undrafted,Undrafted,Undrafted,7,7.0,5.4,0.4,21.9,15.6,27.6,17.9,75.9,4.8,84,C,0
12,Max Strus,MIA,32,12.1,2.0,4.3,0.457,1.2,3.5,0.351,0.3,0.5,0.647,0.2,1.1,0.1,0.8,0.8,0.5,0.2,0.0,5.5,MIA,25,215,DePaul,USA,Undrafted,Undrafted,Undrafted,33,5.5,0.9,0.5,-7.9,0.8,6.5,17.3,59.4,6.9,77,SG,898310
13,Precious Achiuwa,MIA,55,12.4,2.0,3.8,0.541,0.0,0.0,0.0,1.0,1.9,0.515,0.7,1.6,1.3,2.3,3.6,0.5,0.3,0.5,5.0,MIA,21,225,Memphis,Nigeria,2020,1,20,55,5.0,3.6,0.5,-8.3,9.9,17.6,18.2,54.9,6.5,80,PF,2582160
14,Gabe Vincent,MIA,42,13.4,1.8,4.8,0.369,0.9,3.1,0.287,0.5,0.5,0.87,0.7,1.6,0.2,0.9,1.1,1.3,0.4,0.0,4.9,MIA,24,200,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,43,4.9,1.1,1.3,-5.9,1.5,6.2,18.3,47.7,14.4,75,PG,0
15,Andre Iguodala,MIA,54,21.5,1.6,4.2,0.381,1.0,3.1,0.329,0.4,0.6,0.647,1.0,1.4,0.6,3.0,3.6,2.2,1.0,0.6,4.6,MIA,37,215,Arizona,USA,2004,1,9,54,4.6,3.6,2.2,-3.2,3.0,13.5,11.1,51.9,15.1,78,SF,15000000
17,Nemanja Bjelica,MIA,8,10.8,1.1,3.0,0.375,0.4,2.0,0.188,0.1,0.4,0.333,0.4,1.9,0.1,1.9,2.0,1.1,0.2,0.2,2.8,MIA,32,234,None,Serbia,2010,2,35,35,6.0,3.3,1.7,-8.1,4.6,17.9,17.8,53.7,15.3,82,F,7150000
10,Nemanja Bjelica,SAC,26,16.9,2.7,5.8,0.46,0.7,2.2,0.293,1.2,1.6,0.762,1.1,1.8,0.9,2.9,3.8,1.9,0.3,0.1,7.2,MIA,32,234,None,Serbia,2010,2,35,35,6.0,3.3,1.7,-8.1,4.6,17.9,17.8,53.7,15.3,82,F,7150000
19,KZ Okpala,MIA,30,12.8,1.0,2.8,0.345,0.4,1.6,0.255,0.1,0.3,0.3,0.4,1.7,0.6,1.4,2.0,0.5,0.3,0.3,2.4,MIA,21,215,Stanford,USA,2019,2,32,31,2.4,1.9,0.5,-9.5,4.5,10.8,11.7,40.8,5.6,80,SF,1517981
20,Maurice Harkless,MIA,11,11.2,0.5,1.2,0.385,0.5,1.0,0.455,0.0,0.2,0.0,0.3,1.3,0.2,1.0,1.2,0.6,0.2,0.4,1.4,SAC,27,220,St. John's,USA,2012,1,15,27,4.5,2.1,0.9,-5.5,2.0,9.3,10.3,56.3,6.3,79,SF,3623000
11,Maurice Harkless,SAC,15,23.2,2.4,5.4,0.444,0.7,2.7,0.275,1.1,1.3,0.85,0.7,2.7,0.5,2.1,2.7,1.1,1.0,0.5,6.7,SAC,27,220,St. John's,USA,2012,1,15,27,4.5,2.1,0.9,-5.5,2.0,9.3,10.3,56.3,6.3,79,SF,3623000
1,Giannis Antetokounmpo,MIL,51,33.6,10.3,18.1,0.568,1.1,3.6,0.301,6.8,10.0,0.682,3.6,2.7,1.7,9.7,11.4,6.0,1.2,1.3,28.5,MIL,26,242,None,Greece,2013,1,15,51,28.5,11.4,6.0,10.5,5.0,26.8,32.2,63.2,28.5,83,PF,27528090
2,Khris Middleton,MIL,58,33.2,7.4,15.5,0.478,2.2,5.1,0.43,3.0,3.4,0.892,2.7,2.3,0.8,5.1,5.9,5.4,1.1,0.2,20.1,MIL,29,222,Texas A&M,USA,2012,2,39,58,20.1,5.9,5.4,5.4,2.5,14.2,24.3,59.0,22.9,79,SF,33051724
3,Jrue Holiday,MIL,48,31.9,6.8,13.5,0.506,1.9,4.6,0.399,1.7,2.1,0.81,2.1,1.6,1.2,3.3,4.5,5.7,1.8,0.5,17.2,MIL,30,205,UCLA,USA,2009,1,17,48,17.2,4.5,5.7,9.4,3.7,9.4,21.3,59.7,24.5,75,PG,26231111
4,Brook Lopez,MIL,59,27.2,4.3,8.9,0.482,1.5,4.4,0.351,1.5,1.8,0.849,0.9,2.0,1.4,3.6,4.9,0.7,0.6,1.4,11.6,MIL,33,282,Stanford,USA,2008,1,10,59,11.6,4.9,0.7,6.3,5.0,11.9,15.9,60.1,3.3,84,C,12697674
5,Bobby Portis,MIL,56,21.2,4.8,9.1,0.528,1.2,2.5,0.486,0.7,1.0,0.759,0.9,1.7,1.8,5.2,7.0,1.1,0.7,0.4,11.5,MIL,26,250,Arkansas,USA,2015,1,22,56,11.5,7.0,1.1,7.1,8.0,22.5,19.8,60.6,7.3,82,C,3623000
6,Donte DiVincenzo,MIL,56,27.4,3.8,9.2,0.415,1.9,5.1,0.378,0.8,1.0,0.737,1.4,1.6,1.2,4.3,5.6,3.1,1.1,0.2,10.3,MIL,24,203,Villanova,USA,2018,1,17,56,10.3,5.6,3.1,9.7,4.4,14.9,16.5,53.5,13.9,76,SG,3044160
7,Bryn Forbes,MIL,59,19.1,3.4,7.4,0.454,2.1,4.8,0.433,0.7,0.9,0.769,0.6,1.1,0.2,1.3,1.4,0.6,0.3,0.0,9.5,MIL,27,205,Michigan State,USA,Undrafted,Undrafted,Undrafted,59,9.5,1.4,0.6,2.4,0.9,6.2,18.0,60.8,4.4,74,SG,2337145
8,Pat Connaughton,MIL,57,23.1,2.6,5.7,0.451,1.5,3.9,0.388,0.5,0.6,0.743,0.5,1.5,1.0,3.8,4.8,1.2,0.7,0.3,7.1,MIL,28,209,Notre Dame,USA,2015,2,41,57,7.1,4.8,1.2,8.0,4.2,14.7,11.5,59.6,6.7,77,SG,4938272
11,Jordan Nwora,MIL,25,9.1,1.9,4.3,0.444,1.0,2.1,0.462,0.7,0.8,0.81,0.8,0.8,0.2,1.6,1.8,0.3,0.6,0.2,5.5,MIL,22,225,Louisville,USA,2020,2,45,25,5.5,1.8,0.3,5.0,1.8,14.5,24.9,58.4,4.5,80,SF,898310
